Group,Matrix ID,Name,Kind,Type,Author,Num Rows,Num Cols,Nonzeros,Pattern Entries,Num Explicit Zeros,Symmetric,Structural Rank,Structural Rank Full,Rank,Full Numerical Rank?,sprank(A)-rank(A),Null Space Dimension,Num Dmperm Blocks,Strongly Connect Components,Pattern Symmetry,Numeric Symmetry,Positive Definite,Cholesky Candidate,Matrix Norm,Minimum Singular Value,Condition Number,RCM Bandwidth,Skew-Symmetric Frobenius Norm,Directional Mean Bias,Signed Frobenius Ratio,Gershgorin Discs,Diagonal Dominance Min Ratio,Diagonal Dominance Mean Ratio,Diagonal Dominance Max Ratio,Strictly Diagonally Dominant Row Fraction,Fiedler Value,Brauer Pair Count,Brauer Max Product,Brauer Mean Product,Brauer Min Product,Brauer Max Center Distance,Brauer Mean Center Distance,Brauer Unions
HB,33,bcsstk11,Structural Problem,real,J. Lewis,1473,1473,34241,34241,0,1,1473,1,1473.0,1.0,0.0,0.0,9.0,9,100.0,100.0,1,1,655606300.0,2.964059,221185300.0,101.0,0.0,3.4400928052712847,7.670184559382664,"[[-50358353.2958,741314969.3463]]",0.070680589,0.63661075,4.385359019685867,0.1262729124236252,2.9659674400758145,,,,,,,
HB,34,bcsstk12,Duplicate Structural Problem,real,J. Lewis,1473,1473,34241,34241,0,1,1473,1,1473.0,1.0,0.0,0.0,9.0,9,100.0,100.0,1,1,655606300.0,2.964059,221185300.0,101.0,0.0,3.4400928052712847,7.670184559382664,"[[-50358353.2958,741314969.3463]]",0.070680589,0.63661075,4.385359019685867,0.1262729124236252,2.9659674400750498,,,,,,,
HB,35,bcsstk13,Computational Fluid Dynamics Problem,real,J. Lewis,2003,2003,83883,83883,0,1,2003,1,2003.0,1.0,0.0,0.0,1.0,1,100.0,100.0,1,1,3114810000000.0,284.3328,10954810000.0,421.0,0.0,1.5243099731492735,1.4942962642476558,"[[-2776075926839.9736,5159647209379.974]]",0.009509033,0.4467949602443702,1.9349935413169024,0.1023464802795806,406.1008460180851,,,,,,,
HB,36,bcsstk14,Structural Problem,real,M. Will,1806,1806,63454,63454,0,1,1806,1,1806.0,1.0,0.0,0.0,41.0,41,100.0,100.0,1,1,11923220000.0,0.9999985,11923240000.0,346.0,0.0,9.597292302227135,8.217312620829889,"[[-1464194881.6005,13100409789.5233]]",0.005797393,0.7949741483066415,4.559111982025291,0.313953488,1.0000000000000002,,,,,,,
HB,37,bcsstk15,Structural Problem,real,M. Will,3948,3948,117816,117816,0,1,3948,1,3948.0,1.0,0.0,0.0,7.0,7,100.0,100.0,1,1,6538182000.0,0.9999995,6538185000.0,556.0,0.0,1.856236948594532,2.240100731405384,"[[-1300655876.6075,7966070845.8823]]",0.016553357,0.7019191310963578,5.788387075912841,0.3353596757852077,1.0000000000000002,,,,,,,
HB,38,bcsstk16,Structural Problem,real,M. Will,4884,4884,290378,290378,0,1,4884,1,4884.0,1.0,0.0,0.0,75.0,75,100.0,100.0,1,1,4943166000.0,0.9999966,4943183000.0,320.0,0.0,1.4436429821439192,2.346516039228347,"[[-2984331340.4278,7008379365.7692]]",0.2665857986817371,0.4193679020984192,1.045182845436981,0.0157657657657657,1.0,,,,,,,
HB,39,bcsstk17,Structural Problem,real,M. Will,10974,10974,428650,428650,0,1,10974,1,10974.0,1.0,0.0,0.0,519.0,519,100.0,100.0,1,1,12960620000.0,0.9999981,12960640000.0,733.0,0.0,1.0408523217728929,1.253971557952042,"[[-11765360990.3355,19534121273.7795]]",0.0253817217873311,0.3303063546774555,7.852556421,0.0571350464734827,1.0,,,,,,,
HB,40,bcsstk18,Structural Problem,real,M. Will,11948,11948,149090,149090,0,1,11948,1,11948.0,1.0,0.0,0.0,792.0,792,100.0,100.0,1,1,42951980000.0,0.1241388,346000000000.0,1576.0,0.0,10.543709040255637,4.596732413117388,"[[-3249405200.5802,51260429098.4905]]",0.004513607,185169652570.97012,888823154185703.8,0.4211583528624038,0.1291615698500126,,,,,,,
HB,41,bcsstk19,Structural Problem,real,J. Lewis,817,817,6853,6853,0,1,817,1,817.0,1.0,0.0,0.0,1.0,1,100.0,100.0,1,1,192216100000000.0,1434.353,134009000000.0,22.0,0.0,22.36542004789841,17.70183825793067,"[[-15989311470486.004,225822792489780.4]]",0.004209368593982652,0.9303942438805418,3.9399550845100664,0.3463892288861689,1612.6768251368778,333336.0,7.384618843373027e+27,5.428188070289664e+25,0.0,139888981863940.28,20497412298449.688,"[[-15989311470486.004,225822792489780.4]]"
HB,42,bcsstk20,Structural Problem,real,J. Lewis,485,485,3135,3135,0,1,485,1,485.0,1.0,0.0,0.0,4.0,4,100.0,100.0,1,1,1.261520792465008e+16,3240.766,3892660000000.0,20.0,0.0,19.43952307975523,25.20948015823796,"[[-539541463439200.0,566953041690631.2],[1961161236555814.0,1.4585156451433492e+16]]",0.003471390318222541,1.6085591023906933,157.480314960648,0.3649484536082474,3541.833267,117370.0,1.6830894663575797e+31,9.519926097225184e+27,0.0,1.2123085650411576e+16,386201905351861.8,"[[-539541463439200.0,566953041690631.2],[1961161236555814.0,1.4585156451433492e+16]]"
HB,43,bcsstk21,Structural Problem,real,J. Lewis,3600,3600,26600,26600,0,1,3600,1,3600.0,1.0,0.0,0.0,2.0,2,100.0,100.0,1,1,127314000.0,7.214147,17647830.0,66.0,0.0,1.457050988164111,1.6101811513510085,"[[-38665120.0,156594200.0]]",0.5,0.6330956161711926,1.3750015625585958,0.046666667,15.00002436453348,,,,,,,
HB,44,bcsstk22,Structural Problem,real,J. Lewis,138,138,696,696,0,1,138,1,138.0,1.0,0.0,0.0,4.0,4,100.0,100.0,1,1,5850119.0,52.83871,110716.5,14.0,0.0,2.967297282286828,3.334633913,"[[-798511.7524,6801727.542]]",0.12743150304698028,1.1554330046635048,2.9748041612414533,0.4420289855072464,64.95789879290491,9453.0,7043425775407.052,567981346946.5406,0.0,4587076.239675312,1271032.5187088337,"[[-786801.4527,6784057.7732]]"
HB,45,bcsstk23,Structural Problem,real,J. Lewis,3134,3134,45178,45178,0,1,3134,1,3133.0,0.0,1.0,1.0,1.0,1,100.0,100.0,1,1,2.258040723762941e+16,8535.284,2645540000000.0,391.0,0.0,187.75225156218968,63.00053995,"[[-856246220068058.8,3.1233654763624772e+16]]",0.000379406,9.299782641,25660.79808084752,0.553286535,14287.67814875856,,,,,,,
HB,46,bcsstk24,Structural Problem,real,J. Lewis,3562,3562,159910,159910,0,1,3562,1,3562.0,1.0,0.0,0.0,1.0,1,100.0,100.0,1,1,30692000000000.0,157.4611,194918000000.0,305.0,0.0,3.098866851507696,3.450785672437371,"[[-9370402139326.742,46889745567438.55]]",0.004396847,0.679294595,2.0241445972958783,0.3234138124649073,341.4116661698761,,,,,,,
HB,47,bcsstk25,Structural Problem,real,J. Lewis,15439,15439,252241,252241,0,1,15439,1,15435.0,0.0,4.0,4.0,13.0,13,100.0,100.0,1,1,1060020504396416.0,240.157,4413860000000.0,553.0,0.0,1.4243937569456393,1.4658413905826002,"[[-436869854647.1229,1151233553641198.2]]",0.002785021,6.371949397075826,380.0400000000223,0.3416672064252866,247.8510810167511,,,,,,,
HB,48,bcsstk26,Structural Problem,real,"A. Mera, R. Cigel, J. Lewis",1922,1922,30336,30336,0,1,1922,1,1922.0,1.0,0.0,0.0,1.0,1,100.0,100.0,1,1,158273000000.0,953.8334,165933800.0,279.0,0.0,1.4414617565072234,1.8595313124474764,"[[-92920824566.1409,228046562518.6814]]",0.018531583,0.8031174528919911,40.87559010519444,0.2075962539021852,2038.8786785003767,,,,,,,
HB,49,bcsstk27,Structural Problem,real,"A. Mera, R. Cigel, J. Lewis",1224,1224,56126,56126,0,1,1224,1,1224.0,1.0,0.0,0.0,1.0,1,100.0,100.0,1,1,3465059.0,143.5646,24135.88,66.0,0.0,1.168923765408221,1.661046676900172,"[[-1610287.0447,4307014.9181]]",0.025459755,0.5005414025940049,1.625279213736326,0.1919934640522876,145.6035899619687,,,,,,,
HB,50,bcsstk28,Structural Problem,real,"A. Mera, R. Cigel, J. Lewis",4410,4410,219024,219024,0,1,4410,1,4410.0,1.0,0.0,0.0,1.0,1,100.0,100.0,1,1,769621400.0,0.8141737,945279100.0,479.0,0.0,1.2402988457452977,1.1116040545864283,"[[-378721139.4522,871188968.3731]]",0.029817176,0.2348490790786425,0.4639509116096717,0.0,2.560629345,,,,,,,
HB,51,bcsstk29,Structural Problem,binary,"R. Cigel, R. Grimes, J. Lewis, E. Meyer",13992,13992,619488,619488,0,1,13992,1,10006.0,0.0,3986.0,3986.0,28.0,28,100.0,100.0,0,1,51.73701,7.279799e-74,7.106929e+74,797.0,0.0,inf,inf,"[[-69.0,71.0]]",0.0142857142857142,0.035111630917259,0.25,0.0,-3.64e-15,,,,,,,
HB,55,bcsstk33,Structural Problem,binary,"R. Cigel, R. Grimes, J. Lewis, E. Meyer",8738,8738,591904,591904,0,1,8738,1,3979.0,0.0,4759.0,4759.0,1.0,1,100.0,100.0,0,1,75.82727,5.1272069999999994e-64,1.47892e+65,898.0,0.0,inf,inf,"[[-139.0,141.0]]",0.007142857,0.016093098,0.052631579,0.0,-2.75e-15,,,,,,,
HB,56,bcsstm01,Structural Problem,integer,J. Lewis,48,48,24,48,24,1,24,0,24.0,0.0,0.0,24.0,26.0,48,100.0,100.0,0,0,200.0,0.0,inf,0.0,0.0,inf,inf,"[[0.0],[100.0],[200.0]]",0.0,0.0,inf,1.0,-4.07e-20,1128.0,0.0,0.0,0.0,200.0,89.36170212765957,"[[0.0],[100.0],[200.0]]"
HB,57,bcsstm02,Structural Problem,real,J. Lewis,66,66,66,66,0,1,66,1,66.0,1.0,0.0,0.0,66.0,66,100.0,100.0,1,1,0.1728286,0.01974694,8.75217,0.0,0.0,inf,inf,"[[0.0197],[0.0232],[0.0306],[0.0533],[0.0617],[0.0649],[0.0852],[0.0921],[0.1254],[0.138],[0.1413],[0.1728]]",0.0,0.0,inf,1.0,0.019746939,2145.0,0.0,0.0,0.0,0.15308163479,0.054002707202722655,"[[0.0197],[0.0197],[0.0197],[0.0197],[0.0232],[0.0232],[0.0232],[0.0306],[0.0306],[0.0533],[0.0533],[0.0617],[0.0617],[0.0617],[0.0649],[0.0649],[0.0649],[0.0852],[0.0852],[0.0921],[0.0921],[0.0921],[0.1254],[0.138],[0.1413],[0.1728],[0.1728]]"
HB,58,bcsstm03,Structural Problem,real,J. Lewis,112,112,72,112,40,1,72,0,72.0,0.0,0.0,40.0,74.0,112,100.0,100.0,0,0,5403.5,0.0,inf,0.0,0.0,inf,inf,"[[0.0],[0.1034],[0.2155],[0.3773],[0.4404],[0.5202],[0.6095],[0.9142],[1.0944],[1.5428],[1.8224],[1.8957],[2.2636],[2.29],[2.3104],[2.3518],[2.5829],[2.7622],[2.8767],[3.2357],[3.5458],[4.0641],[4.3957],[5.1716],[6.8491],[13.7124],[18.28],[20.72],[24.78],[27.42],[28.0],[42.31],[4763.0],[5403.5]]",0.0,0.0,inf,1.0,-8.13e-20,6216.0,0.0,0.0,0.0,5403.5,359.72248392021055,"[[0.0],[0.1034],[0.1034],[0.1034],[0.1034],[0.1034],[0.1034],[0.1034],[0.1034],[0.1034],[0.2155],[0.2155],[0.2155],[0.2155],[0.2155],[0.2155],[0.2155],[0.2155],[0.3773],[0.3773],[0.3773],[0.3773],[0.3773],[0.3773],[0.3773],[0.4404],[0.4404],[0.4404],[0.4404],[0.4404],[0.4404],[0.4404],[0.4404],[0.5202],[0.5202],[0.5202],[0.5202],[0.5202],[0.5202],[0.5202],[0.5202],[0.6095],[0.6095],[0.6095],[0.6095],[0.6095],[0.6095],[0.9142],[0.9142],[0.9142],[0.9142],[0.9142],[0.9142],[0.9142],[1.0944],[1.0944],[1.0944],[1.0944],[1.0944],[1.5428],[1.5428],[1.5428],[1.5428],[1.5428],[1.5428],[1.8224],[1.8224],[1.8224],[1.8224],[1.8224],[1.8957],[1.8957],[1.8957],[1.8957],[1.8957],[2.2636],[2.2636],[2.2636],[2.2636],[2.2636],[2.2636],[2.29],[2.29],[2.29],[2.29],[2.29],[2.3104],[2.3104],[2.3104],[2.3104],[2.3518],[2.3518],[2.3518],[2.3518],[2.3518],[2.5829],[2.5829],[2.5829],[2.5829],[2.7622],[2.7622],[2.7622],[2.7622],[2.7622],[2.7622],[2.8767],[2.8767],[2.8767],[2.8767],[2.8767],[2.8767],[3.2357],[3.2357],[3.2357],[3.2357],[3.5458],[3.5458],[3.5458],[3.5458],[3.5458],[4.0641],[4.0641],[4.0641],[4.0641],[4.3957],[4.3957],[4.3957],[5.1716],[5.1716],[5.1716],[5.1716],[5.1716],[6.8491],[6.8491],[6.8491],[13.7124],[13.7124],[13.7124],[13.7124],[18.28],[18.28],[20.72],[20.72],[24.78],[24.78],[27.42],[27.42],[28.0],[42.31],[42.31],[4763.0],[5403.5]]"
HB,59,bcsstm04,Structural Problem,real,J. Lewis,132,132,66,132,66,1,66,0,66.0,0.0,0.0,66.0,68.0,132,100.0,100.0,0,0,0.1728286,0.0,inf,0.0,0.0,inf,inf,"[[0.0],[0.0197],[0.0232],[0.0306],[0.0533],[0.0617],[0.0649],[0.0852],[0.0921],[0.1254],[0.138],[0.1413],[0.1728]]",0.0,0.0,inf,1.0,0.0,8646.0,0.0,0.0,0.0,0.172828573455,0.05859910707673273,"[[0.0],[0.0197],[0.0197],[0.0197],[0.0197],[0.0232],[0.0232],[0.0232],[0.0306],[0.0306],[0.0533],[0.0533],[0.0617],[0.0617],[0.0617],[0.0649],[0.0649],[0.0649],[0.0852],[0.0852],[0.0921],[0.0921],[0.0921],[0.1254],[0.138],[0.1413],[0.1728],[0.1728]]"
